#Mod_Status,#Mod_Name,#Nexus_ID,#Mod_Nexus_URL,#Mod_Version,#Download_File_Name
"+","DLC: HearthFires",-1,"","",""
"+","DLC: Dragonborn",-1,"","",""
"+","DLC: Dawnguard",-1,"","",""
"+","Synergy VR - Beta Release - RC35_separator",-1,"","",""
"+","#Essentials_separator",-1,"","",""
"-","##Core Engine Fixes & Performance_separator",-1,"","",""
"+","Cleaned Masters",0,"","d2024.3.29.0","Cleaned Masters.7z"
"+","Wabbajack customizer",101632,"https://www.nexusmods.com/skyrimspecialedition/mods/101632","2.1.1.0","Wabbajack Customizer-101632-2-1-1-1704370688.zip"
"+","Skyrim Script Extender for VR (SKSEVR)",30457,"https://www.nexusmods.com/skyrimspecialedition/mods/30457","2.0.12.0","Skyrim Script Extender for VR (SKSEVR)-30457-2-0-12-1715212974.7z"
"+","VR Address Library for SKSEVR",58101,"https://www.nexusmods.com/skyrimspecialedition/mods/58101","0.253.0.0","VR Address Library 58101 0.253.0 2026-08-21T00-39Z 6Xybdap5G.7z"
"+","SSE Fixes",10547,"https://www.nexusmods.com/skyrimspecialedition/mods/10547","3.1.5.73","(Skyrim VR) SSE Fixes v3 for Skyrim VR 1.4.15-10547-3VR-1-4-15.7z"
"+","Engine Fixes VR",62089,"https://www.nexusmods.com/skyrimspecialedition/mods/62089","7.5.0.0","Engine Fixes VR 62089 7.5.0 2026-08-21T10-09Z xDLPwGJSc.7z"
"+","Engine Fixes VR Part 2",62089,"https://www.nexusmods.com/skyrimspecialedition/mods/62089","1.26.0.0","Part 2 Engine Fixes VR v1.26-62089-v1-26-1714050654.zip"
"+","Private Profile Redirector",0,"","0.6.3.0rc1","PrivateProfileRedirector.0.6.3rc1.zip"
"+","Disk Cache Enabler",100975,"https://www.nexusmods.com/skyrimspecialedition/mods/100975","1.2.0.0","DiskCacheEnabler-1.2-100975-1-2-1705561431.zip"
"+","Save and Load Accelerator for SKSE Cosaves - S.L.A.C.K",163969,"https://www.nexusmods.com/skyrimspecialedition/mods/163969","1.3.2.0","Save and Load Accelerator For SKSE Cosaves-163969-1-3-2-1768177139.zip"
"+","Skyrim Priority SE AE - CPU Performance FPS Optimizer",50129,"https://www.nexusmods.com/skyrimspecialedition/mods/50129","3.4.0.0","Skyrim Priority SE AE-50129-3-4-0-1675213326.zip"
"+","My Minimalistic AutoSave Mod",37133,"https://www.nexusmods.com/skyrimspecialedition/mods/37133","5.1.0.0","Minimalistic AutoSave-37133-5-1-1701267785.7z"
"+","Faster Decompression",174643,"https://www.nexusmods.com/skyrimspecialedition/mods/174643","1.3.0.0","Fast Decompress-174643-1-3-1773820113.zip"
"+","Faster Cell Lookup",178777,"https://www.nexusmods.com/skyrimspecialedition/mods/178777","1.7.0.0","Faster Cell Lookup 178777 1.7 2026-07-02T15-27Z lNkz9Ldzc.zip"
"-","##Diagnostics & Logging_separator",-1,"","",""
"+","Crash Logger SSE AE VR - PDB support",59818,"https://www.nexusmods.com/skyrimspecialedition/mods/59818","1.24.0.0","CrashLogger-59818-1-24-0-1782605772.7z"
"+","Recursion Monitor",76867,"https://www.nexusmods.com/skyrimspecialedition/mods/76867","1.2.0.0","Recursion Fix-76867-1-2-1666911818.rar"
"-","##Global Scripting Frameworks_separator",-1,"","",""
"+","Skyrim VR ESL Support",106712,"https://www.nexusmods.com/skyrimspecialedition/mods/106712","1.3.2.0","Skyrim VR ESL-106712-1-3-2-1773195184.7z"
"+","powerofthree's Papyrus Extender",22854,"https://www.nexusmods.com/skyrimspecialedition/mods/22854","6.4.0.0","Papyrus Extender-22854-6-4-0-1781113508.7z"
"+","Papyrus Extender VR",58296,"https://www.nexusmods.com/skyrimspecialedition/mods/58296","6.4.0.0","Papyrus Extender VR-58296-6-4-1783072253.7z"
"+","Papyrus Extender VR 6.4 MapMenu Fix-1.0.0",0,"","d2026.8.11.0","Papyrus Extender VR 6.4 MapMenu Fix-1.0.0.7z"
"+","powerofthree's Tweaks",51073,"https://www.nexusmods.com/skyrimspecialedition/mods/51073","1.15.1.0","powerofthree's Tweaks-51073-1-1-5-1-1756670335.7z"
"+","powerofthree's Tweaks VR",59510,"https://www.nexusmods.com/skyrimspecialedition/mods/59510","1.15.1.0","powerofthree's Tweaks VR-59510-1-15-1-1769592849.7z"
"+","Papyrus Tweaks NG",77779,"https://www.nexusmods.com/skyrimspecialedition/mods/77779","4.1.1.0","Papyrus Tweaks 4.1.1-77779-4-1-1-1761101872.rar"
"+","Spell Perk Item Distributor (SPID) VR",59121,"https://www.nexusmods.com/skyrimspecialedition/mods/59121","7.3.0.0","Spell Perk Item Distributor VR-59121-7-3-0-1780825299.7z"
"+","Base Object Swapper VR",61734,"https://www.nexusmods.com/skyrimspecialedition/mods/61734","3.4.1.0","Base Object Swapper VR-61734-3-4-1-1753861337.7z"
"+","SkyPatcher",106659,"https://www.nexusmods.com/skyrimspecialedition/mods/106659","7.0.0.0","SkyPatcher - VR 106659 7.0.0 2026-08-06T19-10Z EwgfAeo5R.zip"
"+","MergeMapper",74689,"https://www.nexusmods.com/skyrimspecialedition/mods/74689","1.5.0.0","MergeMapper-74689-1-5-0-1683883576.7z"
"+","Scaleform Translation Plus Plus VR",60210,"https://www.nexusmods.com/skyrimspecialedition/mods/60210","1.4.1.0","ScaleformTranslationPP VR-60210-1-4-1-1639722419.7z"
"+","JContainers VR",16495,"https://www.nexusmods.com/skyrimspecialedition/mods/16495","4.2.9.0","JContainers VR-16495-4-2-11-1710863450.7z"
"+","PapyrusUtil VR - Scripting Utility Functions",13048,"https://www.nexusmods.com/skyrimspecialedition/mods/13048","3.6.0.0b","PapyrusUtil VR - Scripting Utility Functions-13048-3-6b-1545409528.zip"
"+","PapyrusUtil ESL Patch",106712,"https://www.nexusmods.com/skyrimspecialedition/mods/106712","1.1.0.0","PapyrusUtil ESL Patch-106712-1-1-1710120108.zip"
"+","FileAccess Interface for Skyrim SE Scripts - FISSES",13956,"https://www.nexusmods.com/skyrimspecialedition/mods/13956","1.3.5.0","FISSES DLL for VR-13956-1-3-5-1545666459.zip"
"-","##Engine-Level Gameplay Tweaks_separator",-1,"","",""
"+","Im Walkin' Here VR",39433,"https://www.nexusmods.com/skyrimspecialedition/mods/39433","0.2.0.0-BETA","ImWalkinHereVR-39433-v0-2-BETA-1611795109.zip"
"+","Increase Actor Limit for VR",37440,"https://www.nexusmods.com/skyrimspecialedition/mods/37440","1.0.0.0","Increase Actor Limit VR-37440-1-0-1592498127.7z"
"+","Poached Bugs VR",107053,"https://www.nexusmods.com/skyrimspecialedition/mods/107053","0.6.0.0","Poached Bugs VR Core File-107053-0-6-0-1764126458.7z"
"+","Rogue Master Detector",93040,"https://www.nexusmods.com/skyrimspecialedition/mods/93040","1.0.3.0","Rogue Master Detector-93040-1-0-3-1686187500.7z"
"-","##Animation & Behavior Engines_separator",-1,"","",""
"+","Pandora Behaviour Engine Plus",133232,"https://www.nexusmods.com/skyrimspecialedition/mods/133232","4.4.0.0b-","Pandora Behaviour Engine v4.4.0-beta 133232 v4.4.0-beta 2026-08-11T18-15Z UK35Xn22h.zip"
"+","Behavior Data Injector",78146,"https://www.nexusmods.com/skyrimspecialedition/mods/78146","0.13.0.0","Behavior Data Injector-78146-v0-13-1667564855.7z"
"+","Behavior Data Injector Universal Support",78159,"https://www.nexusmods.com/skyrimspecialedition/mods/78159","0.13.0.1","Behavior Data Injector Universal Support-78159-v0-13-0-1-1679695849.zip"
"+","Paired Animation Improvements",99621,"https://www.nexusmods.com/skyrimspecialedition/mods/99621","1.0.2.0","Paired Animation Improvements-99621-1-0-2-1706671876.7z"
"+","BodySlide and Outfit Studio",201,"https://www.nexusmods.com/skyrimspecialedition/mods/201","5.8.2.0","BodySlide and Outfit Studio - v5.8.2 201 5.8.2 2026-06-25T14-52Z Yj6wQRCsS.7z"
"-","##Visual Frameworks & Optimization_separator",-1,"","",""
"+","Mini's Micro-Systems Framework (MMSF)",183073,"https://www.nexusmods.com/skyrimspecialedition/mods/183073","1.1.0.0","MMSF 183073 1.1.0.0 2026-07-07T00-43Z izKcFp4Vg.7z"
"+","Luma Utility",177961,"https://www.nexusmods.com/skyrimspecialedition/mods/177961","1.7.0.0","Luma Utility 177961 1.7.0.0 2026-07-13T12-46Z IoFlhf0FB.7z"
"+","XEMI Utility",159084,"https://www.nexusmods.com/skyrimspecialedition/mods/159084","1.6.0.0","XEMI Util 159084 1.6.0.0 2026-07-07T01-36Z pQ0AZ3crc.7z"
"+","PAPER",73849,"https://www.nexusmods.com/skyrimspecialedition/mods/73849","2.2.4.0","PAPER-73849-2-2-4-1689759531.zip"
"+","FloraFixer - Mutagen Patcher and Data",42057,"https://www.nexusmods.com/skyrimspecialedition/mods/42057","1.0.0.0","Data Files-42057-1-1604616002.7z"
"+","MisMatchR",147580,"https://www.nexusmods.com/skyrimspecialedition/mods/147580","f6.0428","MisMatchR MO2-147580-v6-0428-1777388460.zip"
"+","BENDr",121578,"https://www.nexusmods.com/skyrimspecialedition/mods/121578","f3.0331","BENDr-121578-v3-0331-1774972615.zip"
"+","PGPatcher",120946,"https://www.nexusmods.com/skyrimspecialedition/mods/120946","1.2.0.0","PGPatcher 120946 1.2.0 2026-07-21T06-42Z 587RqTh19.zip"
"+","VRAMr",90557,"https://www.nexusmods.com/skyrimspecialedition/mods/90557","f16.0310","VRAMr-90557-v16-0310-1773176836.zip"
"+","#Unofficial Patches_separator",-1,"","",""
"+","Master Occlusion Field",113023,"https://www.nexusmods.com/skyrimspecialedition/mods/113023","1.0.4.0","Master Occlusion Field-113023-1-0-4-1721663639.7z"
"+","Unofficial Skyrim Special Edition Patch",266,"https://www.nexusmods.com/skyrimspecialedition/mods/266","4.2.5.0b","Unofficial Skyrim Special Edition Patch-266-4-2-5b-1623727189.7z"
"+","Skyrim Vr USSEP patch for USSEP 4.2.5b",91475,"https://www.nexusmods.com/skyrimspecialedition/mods/91475","1.0.0.0","SkyrimVR USSEP 4.2.5b Compatibility Patch-91475-1-0-1684241380.zip"
"+","Script Optimization and Fixes Compilation",105144,"https://www.nexusmods.com/skyrimspecialedition/mods/105144","1.3.3.0","Script Optimizations and Fixes Compilation-105144-1-3-3-1701219209.rar"
"+","Particle Patch for ENB",65720,"https://www.nexusmods.com/skyrimspecialedition/mods/65720","1.4.5.0","Particle Patch 65720 1.4.5 2026-08-04T07-34Z gbrZ4tLRV.zip"
"+","No More Glowy Effects",153174,"https://www.nexusmods.com/skyrimspecialedition/mods/153174","1.3.0.0","No More Glowy Effects-153174-1-3-0-1774408643.7z"
